,model,layer,accuracy,experiment
234,alexnet,ReLU-2,1,curv
235,alexnet,ReLU-2,1,curv
236,alexnet,ReLU-2,0,curv
237,alexnet,ReLU-2,0,curv
238,alexnet,ReLU-2,1,curv
239,alexnet,ReLU-2,1,curv
240,alexnet,ReLU-3,1,curv
241,alexnet,ReLU-3,0,curv
242,alexnet,ReLU-3,1,curv
243,alexnet,ReLU-3,0,curv
244,alexnet,ReLU-3,0,curv
245,alexnet,ReLU-3,1,curv
246,alexnet,ReLU-3,0,curv
247,alexnet,ReLU-3,1,curv
248,alexnet,ReLU-3,1,curv
249,alexnet,ReLU-3,1,curv
250,alexnet,ReLU-3,0,curv
251,alexnet,ReLU-3,1,curv
252,alexnet,ReLU-3,1,curv
253,alexnet,ReLU-3,0,curv
254,alexnet,ReLU-3,1,curv
255,alexnet,ReLU-3,1,curv
256,alexnet,ReLU-3,0,curv
257,alexnet,ReLU-3,0,curv
258,alexnet,ReLU-3,0,curv
259,alexnet,ReLU-3,1,curv
260,alexnet,ReLU-3,1,curv
261,alexnet,ReLU-3,1,curv
262,alexnet,ReLU-3,1,curv
263,alexnet,ReLU-3,1,curv
264,alexnet,ReLU-3,1,curv
265,alexnet,ReLU-3,1,curv
266,alexnet,ReLU-3,1,curv
267,alexnet,ReLU-3,1,curv
268,alexnet,ReLU-3,1,curv
269,alexnet,ReLU-3,1,curv
270,alexnet,ReLU-3,1,curv
271,alexnet,ReLU-3,1,curv
272,alexnet,ReLU-3,1,curv
273,alexnet,ReLU-3,1,curv
274,alexnet,ReLU-3,1,curv
275,alexnet,ReLU-3,0,curv
276,alexnet,ReLU-3,1,curv
277,alexnet,ReLU-3,1,curv
278,alexnet,ReLU-3,1,curv
279,alexnet,ReLU-3,1,curv
280,alexnet,ReLU-3,1,curv
281,alexnet,ReLU-3,1,curv
282,alexnet,ReLU-3,1,curv
283,alexnet,ReLU-3,1,curv
284,alexnet,ReLU-3,1,curv
285,alexnet,ReLU-3,1,curv
286,alexnet,ReLU-3,0,curv
287,alexnet,ReLU-3,1,curv
288,alexnet,ReLU-3,1,curv
289,alexnet,ReLU-3,1,curv
290,alexnet,ReLU-3,1,curv
291,alexnet,ReLU-3,0,curv
292,alexnet,ReLU-3,1,curv
293,alexnet,ReLU-3,1,curv
294,alexnet,ReLU-3,1,curv
295,alexnet,ReLU-3,1,curv
296,alexnet,ReLU-3,1,curv
297,alexnet,ReLU-3,1,curv
298,alexnet,ReLU-3,1,curv
299,alexnet,ReLU-3,1,curv
300,alexnet,ReLU-3,1,curv
301,alexnet,ReLU-3,1,curv
302,alexnet,ReLU-3,0,curv
303,alexnet,ReLU-3,1,curv
304,alexnet,ReLU-3,1,curv
305,alexnet,ReLU-3,1,curv
306,alexnet,ReLU-3,1,curv
307,alexnet,ReLU-3,1,curv
308,alexnet,ReLU-3,1,curv
309,alexnet,ReLU-3,1,curv
310,alexnet,ReLU-3,0,curv
311,alexnet,ReLU-3,1,curv
312,alexnet,ReLU-3,1,curv
313,alexnet,ReLU-3,1,curv
314,alexnet,ReLU-3,1,curv
315,alexnet,ReLU-3,1,curv
316,alexnet,ReLU-3,1,curv
317,alexnet,ReLU-3,1,curv
318,alexnet,ReLU-3,0,curv
319,alexnet,ReLU-3,1,curv
320,alexnet,ReLU-3,1,curv
321,alexnet,ReLU-3,1,curv
322,alexnet,ReLU-3,1,curv
323,alexnet,ReLU-3,1,curv
324,alexnet,ReLU-3,1,curv
325,alexnet,ReLU-3,1,curv
326,alexnet,ReLU-3,1,curv
327,alexnet,ReLU-3,1,curv
328,alexnet,ReLU-3,1,curv
329,alexnet,ReLU-3,1,curv
330,alexnet,ReLU-3,1,curv
331,alexnet,ReLU-3,1,curv
332,alexnet,ReLU-3,1,curv
333,alexnet,ReLU-3,1,curv
334,alexnet,ReLU-3,1,curv
335,alexnet,ReLU-3,1,curv
336,alexnet,ReLU-3,0,curv
337,alexnet,ReLU-3,0,curv
338,alexnet,ReLU-3,1,curv
339,alexnet,ReLU-3,1,curv
340,alexnet,ReLU-3,1,curv
341,alexnet,ReLU-3,1,curv
342,alexnet,ReLU-3,1,curv
343,alexnet,ReLU-3,1,curv
344,alexnet,ReLU-3,1,curv
345,alexnet,ReLU-3,1,curv
346,alexnet,ReLU-3,1,curv
347,alexnet,ReLU-3,1,curv
348,alexnet,ReLU-3,1,curv
349,alexnet,ReLU-3,1,curv
350,alexnet,ReLU-3,1,curv
351,alexnet,ReLU-3,1,curv
352,alexnet,ReLU-3,1,curv
353,alexnet,ReLU-3,0,curv
354,alexnet,ReLU-3,1,curv
355,alexnet,ReLU-3,1,curv
356,alexnet,ReLU-3,0,curv
357,alexnet,ReLU-3,1,curv
