,model,layer,accuracy
167,alexnet,ReLU-2,0.5
168,alexnet,ReLU-2,0.75
169,alexnet,ReLU-2,1.0
170,alexnet,ReLU-2,1.0
171,alexnet,ReLU-2,0.5
172,alexnet,ReLU-2,1.0
173,alexnet,ReLU-2,0.75
174,alexnet,ReLU-2,1.0
175,alexnet,ReLU-2,1.0
176,alexnet,ReLU-2,0.75
177,alexnet,ReLU-2,0.75
178,alexnet,ReLU-2,1.0
179,alexnet,ReLU-2,1.0
180,alexnet,ReLU-2,0.75
181,alexnet,ReLU-2,1.0
182,alexnet,ReLU-2,0.75
183,alexnet,ReLU-2,0.5
184,alexnet,ReLU-2,0.75
185,alexnet,ReLU-2,0.75
186,alexnet,ReLU-2,0.5
187,alexnet,ReLU-2,1.0
188,alexnet,ReLU-2,1.0
189,alexnet,ReLU-2,0.75
190,alexnet,ReLU-2,0.75
191,alexnet,ReLU-2,0.25
192,alexnet,ReLU-2,0.5
193,alexnet,ReLU-2,0.25
194,alexnet,ReLU-2,0.5
195,alexnet,ReLU-2,0.75
196,alexnet,ReLU-2,0.75
197,alexnet,ReLU-2,0.25
198,alexnet,ReLU-2,0.5
199,alexnet,ReLU-2,0.0
200,alexnet,ReLU-2,0.5
201,alexnet,ReLU-2,1.0
202,alexnet,ReLU-2,0.25
203,alexnet,ReLU-2,0.75
204,alexnet,ReLU-2,0.5
205,alexnet,ReLU-2,0.75
206,alexnet,ReLU-2,0.75
207,alexnet,ReLU-2,1.0
208,alexnet,ReLU-2,0.75
209,alexnet,ReLU-2,1.0
210,alexnet,ReLU-2,0.75
211,alexnet,ReLU-2,0.75
212,alexnet,ReLU-2,0.5
213,alexnet,ReLU-2,1.0
214,alexnet,ReLU-2,0.75
215,alexnet,ReLU-2,1.0
216,alexnet,ReLU-2,0.5
217,alexnet,ReLU-2,1.0
218,alexnet,ReLU-2,1.0
219,alexnet,ReLU-2,0.5
220,alexnet,ReLU-2,1.0
221,alexnet,ReLU-2,1.0
222,alexnet,ReLU-2,1.0
223,alexnet,ReLU-2,1.0
224,alexnet,ReLU-2,0.75
225,alexnet,ReLU-2,1.0
226,alexnet,ReLU-2,1.0
